# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 909 11 7637 1095
p 2 0 910 10 9600 1104
p 2 9 901 10 17331 1404
p 2 0 904 16 9617 1161
p 2 0 906 14 9833 1172
p 2 3 895 22 17145 1360
p 2 0 911 9 9619 1184
p 2 0 901 19 8953 1138
p 2 3 904 13 17799 1425
p 2 0 909 11 8828 1163
p 2 0 906 14 9304 1158
p 2 2 903 15 16021 1362
p 2 0 904 16 9109 1171
p 2 2 900 18 8810 1167
p 2 2 904 14 16236 1377
p 2 0 905 15 8725 1190
p 2 0 912 8 9426 1198
p 2 0 901 19 8629 1165
p 2 0 910 10 9244 1186
p 2 2 900 18 8487 1176
p 2 0 908 12 8894 1173
p 2 0 906 14 9040 1157
p 2 0 905 15 8880 1151
p 2 0 899 21 8771 1146
p 2 0 911 9 8627 1158
p 2 0 906 14 9035 1147
p 2 0 901 19 8561 1152
p 2 0 904 16 9124 1124
p 2 0 909 11 8772 1174
p 2 0 905 15 8819 1148
p 2 0 902 18 8737 1150
p 2 0 894 26 8810 1140
p 2 0 907 13 9024 1166
p 2 1 902 17 9415 1155
p 2 0 907 13 9129 1168
p 2 0 913 7 9061 1154
p 2 1 898 21 8821 1160
p 2 2 901 17 9115 1151
p 2 1 898 21 8742 1146
p 2 0 904 16 9028 1154
p 2 0 908 12 8645 1170
p 2 0 904 16 8968 1144
p 2 0 905 15 8396 1149
p 2 0 904 16 8506 1141
p 2 0 896 24 8984 1144
p 2 0 905 15 8741 1153
p 2 0 908 12 8912 1171
p 2 1 907 12 8781 1173
p 2 0 911 9 8213 1142
p 2 0 901 19 8664 1145
p 2 0 915 5 8415 1155
p 2 0 906 14 8756 1144
p 2 0 906 14 8586 1161
p 2 1 905 14 8509 1153
p 2 0 909 11 8015 1155
p 2 0 895 25 8490 1136
p 2 0 908 12 8097 1152
p 2 0 902 18 8524 1143
p 2 0 906 14 8363 1164
p 2 0 903 17 8343 1164
p 2 0 906 14 8101 1140
p 2 0 901 19 8269 1133
p 2 0 907 13 8344 1133
p 2 0 906 14 8577 1149
p 2 0 906 14 8034 1136
p 2 0 904 16 8607 1150
p 2 0 907 13 8031 1154
p 2 0 909 11 8300 1152
p 2 0 909 11 7863 1148
p 2 0 908 12 8541 1152
p 2 0 907 13 8177 1161
p 2 0 906 14 8438 1159
p 2 0 911 9 8181 1154
p 2 0 892 28 8124 1139
p 2 0 908 12 8142 1163
p 2 0 906 14 7950 1143
p 2 0 905 15 8450 1159
p 2 0 908 12 15392 1292
p 2 0 905 15 7881 1145
p 2 0 903 17 8649 1154
p 2 0 911 9 13615 1247
p 2 0 904 16 8075 1148
p 2 0 910 10 8257 1148
p 2 0 912 8 14759 1266
p 2 0 913 7 7360 1127
p 2 0 910 10 8630 1147
p 2 0 913 7 7518 1147
p 2 0 909 11 8268 1149
p 2 0 910 10 7907 1149
p 2 0 913 7 8199 1149
p 2 0 911 9 7443 1110
p 2 0 913 7 7775 1135
p 2 0 914 6 8013 1149
p 2 0 912 8 8243 1146
p 2 0 912 8 8101 1173
p 2 0 914 6 7851 1165
p 2 0 914 6 7713 1137
p 2 0 913 7 8025 1149
p 2 0 914 6 7690 1157
p 2 0 915 5 7415 1138
p 2 0 908 12 7995 1165
p 2 0 909 11 7589 1143
p 2 0 899 21 8073 1129
i 2 920 0 0 38083 4211
p 2 0 395 525 675 531
p 2 0 340 580 526 464
p 2 0 154 766 336 301
p 2 0 171 749 345 312
p 2 0 176 744 363 314
p 2 0 112 808 309 261
p 2 0 102 818 291 247
p 2 0 112 808 296 255
p 2 0 154 766 391 300
p 2 0 95 825 285 245
p 2 0 97 823 258 237
p 2 0 103 817 294 248
p 2 0 79 841 265 229
p 2 0 90 830 275 238
p 2 0 99 821 303 248
p 2 0 72 848 259 222
p 2 0 66 854 233 213
p 2 0 39 881 211 194
p 2 0 41 879 203 192
p 2 0 50 870 224 201
p 2 0 83 837 264 230
p 2 0 73 847 244 221
p 2 0 57 863 245 208
p 2 0 54 866 227 204
p 2 0 45 875 215 196
p 2 0 29 891 196 182
p 2 0 63 857 244 212
p 2 0 95 825 3133 269
p 2 0 69 851 338 220
p 2 4 102 814 2826 305
p 2 0 75 845 314 228
p 2 0 51 869 231 203
p 2 0 55 865 218 204
p 2 0 37 883 212 190
p 2 0 57 863 228 208
p 2 3 346 571 12689 821
p 2 0 285 635 1022 455
p 2 0 362 558 10929 727
p 2 0 321 599 1684 516
p 2 0 346 574 10084 710
p 2 0 266 654 916 427
p 2 0 161 759 469 311
p 2 3 381 536 12223 841
p 2 0 275 645 955 443
p 2 0 360 560 10027 706
p 2 0 259 661 938 430
p 2 0 324 596 10381 686
p 2 0 275 645 945 443
p 2 0 135 785 389 284
p 2 0 158 762 498 311
p 2 0 169 751 527 322
p 2 0 103 817 352 256
p 2 0 73 847 294 227
p 2 0 95 825 333 248
p 2 0 88 832 308 237
p 2 0 101 819 359 249
p 2 0 172 748 513 320
p 2 0 105 815 375 257
p 2 0 72 848 295 226
p 2 0 118 802 367 264
p 2 0 67 853 281 219
p 2 0 81 839 315 231
p 2 0 62 858 253 212
p 2 0 46 874 229 196
p 2 0 34 886 214 187
p 2 0 63 857 258 213
p 2 0 65 855 269 215
p 2 0 69 851 282 220
p 2 0 33 887 202 187
p 2 0 41 879 224 194
p 2 0 34 886 202 187
p 2 0 41 879 203 192
p 2 0 32 888 198 182
p 2 0 33 887 190 184
p 2 0 49 871 219 200
p 2 0 35 885 205 190
p 2 0 45 875 209 195
p 2 0 47 873 205 193
p 2 0 28 892 190 181
p 2 0 34 886 200 185
i 2 920 0 0 25251 3542
p 2 0 740 180 1868 869
p 2 0 750 170 2883 903
p 2 0 713 207 3167 849
p 2 0 750 170 3677 918
p 2 0 690 230 3558 834
p 2 0 685 235 3534 846
p 2 0 715 205 3845 868
p 2 0 696 224 3837 856
p 2 0 716 204 3680 867
p 2 0 702 218 3807 878
p 2 0 647 273 3732 812
p 2 0 749 171 4705 956
p 2 0 735 185 5522 927
p 2 0 715 205 5719 919
p 2 0 735 185 5812 919
p 2 0 729 191 5793 923
p 2 0 689 231 5505 873
p 2 0 685 235 5979 887
p 2 0 701 219 5922 899
p 2 0 711 209 5826 930
p 2 0 702 218 5984 895
p 2 0 676 244 5764 866
p 2 0 670 250 4016 853
p 2 0 713 207 4464 929
p 2 0 732 188 3982 903
p 2 0 700 220 3921 885
p 2 0 724 196 4017 897
p 2 0 725 195 4134 913
p 2 0 725 195 3717 877
p 2 0 683 237 3886 879
p 2 0 732 188 4034 900
p 2 0 686 234 3807 861
p 2 0 728 192 4135 908
p 2 0 713 207 4102 900
p 2 0 709 211 3735 873
p 2 0 713 207 3999 917
p 2 0 716 204 3979 889
p 2 0 706 214 3976 885
p 2 0 657 263 4117 858
p 2 0 690 230 4055 888
p 2 0 734 186 3856 903
p 2 0 696 224 3893 873
p 2 0 687 233 3895 871
p 2 0 698 222 3758 874
p 2 0 719 201 3980 910
p 2 0 720 200 3944 903
p 2 0 714 206 3691 870
p 2 0 696 224 3972 887
p 2 0 728 192 3791 891
p 2 0 700 220 3774 866
p 2 0 748 172 3948 921
p 2 0 708 212 3933 902
p 2 0 707 213 3847 889
p 2 0 689 231 3944 889
p 2 0 722 198 3899 898
p 2 0 693 227 3752 874
p 2 0 703 217 4035 886
p 2 0 727 193 3954 912
p 2 0 685 235 3720 860
p 2 0 746 174 3997 927
p 2 0 726 194 3916 893
p 2 0 702 218 3777 888
p 2 0 701 219 3840 877
p 2 0 713 207 3931 910
p 2 0 713 207 3778 883
p 2 0 690 230 4002 881
p 2 0 697 223 3749 865
p 2 0 698 222 3813 874
p 2 0 729 191 3939 904
p 2 0 701 219 3868 883
p 2 0 701 219 3643 876
p 2 0 745 175 4088 931
p 2 0 712 208 3786 887
p 2 0 691 229 3721 874
p 2 0 724 196 3981 911
p 2 0 714 206 3996 910
p 2 0 767 153 3776 936
p 2 0 705 215 3865 881
p 2 0 713 207 3744 865
p 2 0 686 234 3730 866
p 2 0 698 222 3945 894
p 2 0 717 203 3891 905
p 2 0 728 192 3727 891
p 2 0 731 189 3874 929
p 2 0 724 196 3831 891
p 2 0 683 237 3649 867
p 2 0 681 239 3805 877
p 2 0 727 193 3960 911
p 2 0 724 196 3654 880
p 2 0 696 224 3759 879
p 2 0 731 189 3818 901
p 2 0 690 230 3630 876
p 2 0 713 207 3862 891
p 2 0 718 202 3883 906
p 2 0 692 228 3653 873
p 2 0 717 203 3911 908
p 2 0 681 239 3674 851
p 2 0 695 225 3725 880
p 2 0 719 201 3911 900
p 2 0 731 189 3934 917
p 2 0 714 206 3592 892
p 2 0 701 219 3869 881
p 2 0 712 208 3838 892
p 2 0 682 238 3603 866
p 2 0 711 209 3776 893
p 2 0 725 195 3944 909
p 2 0 706 214 3702 884
p 2 0 705 215 3928 896
p 2 0 694 226 3791 862
p 2 0 701 219 3606 863
p 2 0 711 209 3837 893
p 2 0 696 224 3891 889
p 2 0 686 234 3750 869
p 2 0 713 207 3898 893
p 2 0 668 252 3691 848
p 2 0 692 228 3626 865
p 2 0 673 247 3968 861
p 2 0 696 224 3850 883
p 2 0 706 214 3595 884
p 2 0 736 184 3884 920
p 2 0 653 267 3713 829
p 2 0 706 214 3700 881
p 2 0 710 210 3885 887
p 2 0 693 227 3945 884
p 2 0 668 252 3573 834
p 2 0 722 198 3893 903
p 2 0 692 228 3763 867
p 2 0 678 242 3698 848
p 2 0 720 200 3886 901
p 2 0 704 216 3836 883
p 2 0 641 279 3326 801
i 2 920 0 0 33778 3822
p 2 0 385 535 667 524
p 2 1 863 56 17570 1533
p 2 0 607 313 1597 770
p 2 0 822 98 15701 1358
p 2 0 550 370 1430 698
p 2 0 782 138 16067 1331
p 2 0 545 375 1525 702
p 2 0 304 616 653 446
p 2 13 787 120 27940 1942
p 2 0 559 361 1577 744
p 2 0 268 652 618 414
p 2 14 812 94 26226 1936
p 2 0 589 331 1776 790
p 2 0 357 563 799 498
p 2 155 682 83 38524 2644
p 2 0 558 362 1558 757
p 2 1 830 89 18520 1375
p 2 0 569 351 1600 726
p 2 0 782 138 16628 1300
p 2 0 519 401 1547 671
p 2 1 793 126 19137 1449
p 2 0 548 372 1550 701
p 2 3 628 289 16677 1249
p 2 0 485 435 1413 646
p 2 0 264 656 637 409
p 2 0 564 356 13552 1008
p 2 0 375 545 1092 527
p 2 0 250 670 600 392
p 2 1 734 185 16626 1266
p 2 0 493 427 1423 632
i 2 920 0 0 17063 3563
p 2 11 741 168 4232 1490
p 2 32 709 179 5469 1657
p 2 24 892 4 13607 2074
p 2 28 734 158 5637 1695
p 2 25 741 154 5790 1689
p 2 18 872 30 13486 1990
p 2 6 769 145 5309 1598
p 2 5 704 211 4764 1466
p 2 17 883 20 14751 2069
p 2 12 765 143 5597 1634
p 2 15 758 147 5396 1624
p 2 30 821 69 17120 2137
p 2 11 753 156 5848 1638
p 2 28 698 194 5394 1619
p 2 41 843 36 19285 2315
p 2 10 743 167 5594 1633
p 2 14 742 164 4754 1537
p 2 19 855 46 14154 1922
p 2 7 758 155 4596 1536
p 2 21 692 207 4800 1525
p 2 15 832 73 12956 1887
p 2 1 724 195 4776 1459
p 2 13 685 222 4654 1472
p 2 6 784 130 11513 1699
p 2 11 733 176 5139 1530
p 2 5 668 247 4828 1424
p 2 8 788 124 11518 1760
p 2 4 757 159 4992 1527
p 2 15 653 252 4919 1460
p 2 15 598 307 4985 1458
i 2 920 0 0 36023 4007
p 2 0 233 687 492 380
p 2 0 228 692 435 368
p 2 2 620 298 12246 1031
p 2 0 486 434 1400 635
p 2 0 291 629 754 429
