# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 64 856 227 208
p 2 0 41 879 215 192
p 2 0 80 840 267 226
p 2 0 54 866 238 205
p 2 0 76 844 284 227
p 2 0 61 859 235 205
p 2 0 35 885 210 189
p 2 0 49 871 224 200
p 2 0 35 885 201 186
p 2 0 57 863 213 200
p 2 0 61 859 227 205
p 2 0 62 858 252 214
p 2 0 70 850 268 220
p 2 0 60 860 255 211
p 2 0 47 873 232 199
p 2 0 66 854 263 217
p 2 0 45 875 220 196
p 2 0 37 883 208 189
p 2 0 67 853 263 219
p 2 0 60 860 243 211
p 2 0 88 832 280 235
p 2 0 35 885 209 189
p 2 0 58 862 244 210
p 2 0 51 869 228 203
p 2 0 45 875 208 193
p 2 0 56 864 212 201
p 2 0 46 874 222 198
p 2 0 59 861 239 208
p 2 0 89 831 269 232
p 2 0 39 881 220 192
p 2 0 47 873 227 199
p 2 0 39 881 214 191
p 2 0 23 897 193 177
p 2 0 34 886 202 186
p 2 0 29 891 201 183
p 2 0 73 847 239 214
p 2 0 53 867 239 203
p 2 0 73 847 236 214
p 2 0 41 879 213 192
p 2 0 65 855 232 211
p 2 0 45 875 204 192
p 2 0 69 851 235 210
p 2 0 54 866 214 197
p 2 0 56 864 239 207
p 2 0 48 872 232 201
p 2 0 46 874 226 196
p 2 0 37 883 212 191
p 2 0 40 880 209 191
p 2 0 68 852 267 219
p 2 0 40 880 196 187
p 2 0 27 893 192 180
p 2 0 34 886 197 186
p 2 0 21 899 188 176
p 2 0 37 883 195 186
p 2 0 23 897 192 178
p 2 0 24 896 189 177
p 2 0 48 872 220 198
p 2 0 26 894 191 181
i 2 920 0 0 25974 3208
p 2 0 523 397 806 638
p 2 0 454 466 608 543
p 2 0 319 601 478 432
p 2 0 316 604 515 440
p 2 0 363 557 649 482
p 2 0 280 640 458 395
p 2 0 192 728 354 320
p 2 0 258 662 433 373
p 2 0 178 742 377 310
p 2 0 213 707 423 345
p 2 0 203 717 362 321
p 2 0 178 742 329 299
p 2 0 169 751 325 292
p 2 0 129 791 328 269
p 2 3 130 787 1129 298
p 2 0 160 760 371 293
p 2 0 186 734 365 308
p 2 3 100 817 1739 295
p 2 0 160 760 328 283
p 2 0 178 742 331 296
p 2 14 218 688 4636 503
p 2 0 123 797 402 270
p 2 0 199 721 376 315
p 2 24 165 731 8149 604
p 2 0 222 698 555 350
p 2 0 225 695 458 344
p 2 60 250 610 12369 874
p 2 0 212 708 606 357
p 2 0 202 718 465 333
p 2 53 287 580 16230 1015
p 2 0 262 658 762 410
p 2 0 212 708 454 337
p 2 57 317 546 17741 1123
p 2 0 292 628 889 453
p 2 0 219 701 521 356
p 2 97 256 567 17794 1218
p 2 0 234 686 772 403
p 2 0 225 695 542 365
p 2 136 315 469 19856 1539
p 2 0 283 637 803 447
p 2 0 214 706 497 354
p 2 83 364 473 19443 1329
p 2 0 338 582 897 480
p 2 0 225 695 509 364
p 2 7 385 528 13390 886
p 2 0 299 621 920 457
p 2 0 253 667 611 400
p 2 2 360 558 9483 751
p 2 0 334 586 899 482
p 2 0 239 681 524 374
p 2 2 338 580 9705 725
p 2 0 297 623 851 453
p 2 0 252 668 665 403
p 2 110 265 545 19489 1315
p 2 0 255 665 762 414
p 2 0 231 689 514 367
p 2 55 345 520 20454 1142
p 2 0 276 644 901 456
p 2 0 280 640 612 410
p 2 12 356 552 17418 905
p 2 0 291 629 978 449
p 2 0 250 670 611 389
p 2 12 378 530 17410 917
p 2 0 232 688 891 416
p 2 0 202 718 504 342
p 2 1 227 692 4852 442
p 2 0 217 703 582 358
p 2 0 145 775 395 288
p 2 31 339 550 19662 940
p 2 0 258 662 837 418
p 2 0 214 706 512 350
p 2 7 326 587 14271 776
p 2 0 287 633 915 445
p 2 0 234 686 555 365
p 2 7 312 601 13955 726
p 2 0 239 681 863 398
p 2 0 177 743 475 316
p 2 10 271 639 14368 742
p 2 0 257 663 863 419
p 2 0 216 704 514 350
p 2 0 343 577 13256 706
p 2 0 275 645 871 419
p 2 0 237 683 523 362
p 2 4 326 590 12615 715
p 2 0 314 606 940 457
p 2 0 300 620 805 434
p 2 0 206 714 544 344
p 2 0 202 718 491 334
p 2 0 173 747 495 315
p 2 0 184 736 477 320
p 2 0 189 731 513 330
p 2 0 136 784 410 279
p 2 0 161 759 587 300
p 2 0 200 720 444 327
p 2 0 156 764 409 295
p 2 0 173 747 696 309
p 2 0 112 808 330 257
p 2 0 79 841 281 228
p 2 0 95 825 287 239
p 2 0 76 844 263 222
p 2 0 165 755 438 304
p 2 0 190 730 656 321
p 2 0 132 788 358 272
p 2 0 126 794 329 263
p 2 0 90 830 394 239
p 2 0 74 846 268 222
p 2 0 60 860 248 207
p 2 0 87 833 605 239
p 2 0 95 825 304 237
p 2 0 107 813 320 251
p 2 0 76 844 510 227
p 2 0 90 830 308 234
p 2 0 54 866 242 203
p 2 0 67 853 331 218
p 2 0 137 783 307 266
p 2 0 131 789 292 262
p 2 0 66 854 577 222
p 2 0 72 848 264 216
p 2 0 44 876 233 197
p 2 0 98 822 257 233
p 2 0 70 850 274 221
p 2 0 111 809 295 247
p 2 0 81 839 489 226
p 2 0 66 854 243 210
p 2 0 84 836 247 222
p 2 0 36 884 311 192
p 2 0 53 867 231 202
p 2 0 81 839 249 222
i 2 920 0 0 8124 3143
p 2 0 798 122 1249 919
p 2 0 650 270 938 769
p 2 0 600 320 885 708
p 2 0 452 468 679 559
p 2 0 541 379 732 609
p 2 0 346 574 557 459
p 2 0 347 573 609 472
p 2 0 368 552 576 476
p 2 0 457 463 696 554
p 2 0 332 588 726 474
p 2 1 570 349 1726 728
p 2 2 456 462 3097 742
p 2 20 527 373 5426 989
p 2 48 492 380 7945 1134
p 2 29 501 390 12199 1299
p 2 31 504 385 9187 1105
p 2 22 509 389 7921 1022
p 2 19 580 321 8634 1063
p 2 0 484 436 1812 673
p 2 0 531 389 1783 692
p 2 0 422 498 1433 581
p 2 0 341 579 1243 492
p 2 0 408 512 1260 541
p 2 0 349 571 1265 502
p 2 0 339 581 1321 507
p 2 0 329 591 1220 480
p 2 0 311 609 1216 461
p 2 0 311 609 1123 452
p 2 0 349 571 1256 498
p 2 0 345 575 1218 492
p 2 0 329 591 1301 490
p 2 0 389 531 1300 519
p 2 0 383 537 1239 513
p 2 0 334 586 1226 480
p 2 0 298 622 1123 446
p 2 0 256 664 1108 407
p 2 0 264 656 1150 431
p 2 0 263 657 1047 412
p 2 0 315 605 1272 476
p 2 0 262 658 1079 416
p 2 0 273 647 1171 428
p 2 22 379 519 5945 660
p 2 0 357 563 1250 499
p 2 0 257 663 1139 415
p 2 0 250 670 1152 408
p 2 0 291 629 1127 447
p 2 0 276 644 1210 439
p 2 0 280 640 1157 435
p 2 0 309 611 1196 466
p 2 0 283 637 1188 442
p 2 0 289 631 1185 447
p 2 0 281 639 1149 437
p 2 0 239 681 1215 413
p 2 0 275 645 1113 431
p 2 0 311 609 1207 466
p 2 0 226 694 1108 391
p 2 0 280 640 1131 435
p 2 0 297 623 1179 440
p 2 0 275 645 1155 440
p 2 0 298 622 1265 456
p 2 0 300 620 1211 454
p 2 0 219 701 1097 382
p 2 0 288 632 1234 447
p 2 0 227 693 1073 381
p 2 0 279 641 1109 424
p 2 0 286 634 1196 436
p 2 0 260 660 1159 414
p 2 0 266 654 1220 435
p 2 0 291 629 1191 438
p 2 0 191 729 1065 362
p 2 0 332 588 1263 483
p 2 0 319 601 1234 465
p 2 0 299 621 1222 452
p 2 0 239 681 1139 404
p 2 0 310 610 1223 460
p 2 0 247 673 1167 407
p 2 0 271 649 1162 421
p 2 0 274 646 1187 429
p 2 0 260 660 1225 422
p 2 0 242 678 1146 401
p 2 0 249 671 1190 414
p 2 0 189 731 1053 356
p 2 0 277 643 1157 424
p 2 0 269 651 1214 430
p 2 0 270 650 1263 430
p 2 0 227 693 1107 383
p 2 0 297 623 1218 450
p 2 0 232 688 1128 395
p 2 0 266 654 1154 411
p 2 0 263 657 1187 419
p 2 0 234 686 1144 397
p 2 0 242 678 1184 406
p 2 0 240 680 1181 405
p 2 0 232 688 1116 393
p 2 0 198 722 1084 366
p 2 0 246 674 1140 403
p 2 0 288 632 1254 442
p 2 0 199 721 1090 365
p 2 0 330 590 1180 469
p 2 0 236 684 1169 404
p 2 0 253 667 1143 411
p 2 0 232 688 1098 391
p 2 0 252 668 1167 416
p 2 0 293 627 1228 450
p 2 0 214 706 1157 385
p 2 0 193 727 1048 361
p 2 0 192 728 1074 357
p 2 0 207 713 1077 372
p 2 0 195 725 1044 356
p 2 0 194 726 1036 365
p 2 0 274 646 1160 426
p 2 0 264 656 1170 416
i 2 920 0 0 31162 3924
p 2 0 446 474 927 593
p 2 0 375 545 833 504
p 2 0 370 550 971 509
p 2 0 259 661 822 398
p 2 0 255 665 778 386
p 2 0 231 689 2337 379
p 2 1 284 635 6023 532
p 2 1 307 612 5826 558
p 2 0 323 597 5556 566
p 2 0 349 571 5005 575
p 2 0 281 639 4619 502
p 2 0 295 625 4259 494
p 2 0 220 700 4434 438
p 2 0 257 663 4281 447
p 2 0 265 655 3491 440
p 2 0 226 694 1030 373
p 2 0 184 736 863 333
p 2 0 177 743 764 312
p 2 0 145 775 771 298
p 2 0 188 732 826 333
p 2 0 196 724 827 335
p 2 0 170 750 737 311
p 2 0 163 757 782 313
p 2 0 165 755 747 308
p 2 0 155 765 701 296
p 2 0 123 797 654 272
p 2 0 134 786 666 277
p 2 0 145 775 756 292
p 2 0 181 739 772 319
p 2 0 177 743 759 320
p 2 0 219 701 816 353
p 2 0 147 773 719 296
p 2 0 155 765 738 305
p 2 0 161 759 774 312
p 2 0 162 758 733 305
p 2 0 126 794 703 273
p 2 0 148 772 707 294
p 2 0 161 759 796 316
p 2 0 142 778 676 284
p 2 0 123 797 726 272
p 2 0 109 811 655 255
p 2 0 136 784 680 282
p 2 0 128 792 690 275
p 2 0 124 796 680 274
p 2 0 114 806 641 261
p 2 0 83 837 617 237
p 2 0 92 828 603 243
p 2 0 130 790 665 278
p 2 0 111 809 631 259
p 2 0 109 811 641 258
p 2 0 137 783 718 290
p 2 0 117 803 657 268
p 2 0 101 819 600 253
p 2 0 119 801 671 270
p 2 0 115 805 654 261
p 2 0 111 809 644 261
p 2 0 106 814 637 254
p 2 0 91 829 612 245
p 2 0 85 835 598 237
p 2 0 111 809 652 260
p 2 0 112 808 663 264
p 2 0 103 817 614 254
p 2 0 138 782 660 284
p 2 0 121 799 653 268
p 2 0 134 786 660 281
p 2 0 159 761 723 305
p 2 0 129 791 640 275
p 2 0 112 808 680 265
p 2 0 126 794 631 269
p 2 0 102 818 672 257
p 2 0 127 793 708 272
p 2 0 115 805 640 263
p 2 0 106 814 664 254
p 2 0 89 831 616 241
p 2 0 89 831 1334 255
p 2 43 187 690 11847 731
p 2 25 211 684 12592 702
p 2 12 228 680 9695 626
p 2 5 258 657 6738 563
p 2 2 242 676 6173 525
p 2 1 247 672 5857 517
p 2 0 232 688 5480 502
p 2 0 220 700 5494 464
p 2 0 208 712 4726 446
p 2 0 186 734 954 342
p 2 0 117 803 707 271
p 2 0 132 788 705 282
p 2 0 119 801 724 275
p 2 0 180 740 866 329
p 2 0 133 787 752 288
p 2 0 143 777 706 284
p 2 0 104 816 711 258
p 2 0 119 801 710 271
p 2 0 126 794 746 276
p 2 0 104 816 683 253
p 2 0 136 784 743 285
p 2 0 117 803 724 269
p 2 0 103 817 659 253
p 2 0 134 786 703 281
p 2 0 137 783 752 284
p 2 0 104 816 624 253
p 2 0 93 827 643 242
p 2 0 99 821 630 246
p 2 0 78 842 599 227
p 2 0 93 827 620 249
p 2 0 112 808 642 258
i 2 920 0 0 45081 4084
p 2 0 376 544 653 506
p 2 0 325 595 530 451
p 2 0 183 737 385 323
p 2 0 193 727 401 333
p 2 0 175 745 407 316
p 2 0 162 758 379 304
p 2 0 187 733 432 326
p 2 0 137 783 359 282
p 2 0 120 800 320 266
p 2 0 70 850 255 218
p 2 0 77 843 263 225
p 2 0 125 795 355 271
p 2 0 122 798 331 263
p 2 0 108 812 315 251
p 2 0 118 802 342 260
p 2 0 103 817 330 253
p 2 0 68 852 256 218
p 2 0 82 838 265 231
p 2 0 61 859 244 212
p 2 0 104 816 308 249
p 2 0 93 827 296 240
p 2 0 97 823 309 246
p 2 0 87 833 297 237
p 2 0 84 836 282 234
p 2 0 94 826 285 237
p 2 0 60 860 237 210
p 2 0 42 878 217 194
p 2 0 73 847 274 221
p 2 0 97 823 316 245
p 2 0 93 827 287 239
p 2 0 73 847 267 223
p 2 0 67 853 260 217
p 2 0 63 857 242 212
p 2 0 65 855 228 210
p 2 0 39 881 209 190
p 2 0 73 847 256 218
p 2 0 64 856 256 215
p 2 0 60 860 244 211
p 2 0 61 859 250 209
p 2 0 112 808 339 262
p 2 0 78 842 273 227
p 2 0 54 866 230 206
p 2 0 56 864 226 204
p 2 0 69 851 263 216
p 2 0 83 837 270 228
p 2 0 72 848 253 220
p 2 0 61 859 242 213
p 2 0 64 856 256 214
p 2 0 56 864 238 208
p 2 0 38 882 205 190
p 2 0 55 865 225 203
p 2 0 71 849 269 221
p 2 0 62 858 247 212
p 2 0 74 846 256 222
p 2 0 51 869 233 204
p 2 0 72 848 255 220
p 2 0 63 857 239 214
p 2 0 36 884 204 187
p 2 0 38 882 211 192
p 2 0 54 866 225 204
p 2 0 77 843 251 223
p 2 0 75 845 266 225
p 2 0 45 875 224 195
p 2 0 72 848 261 221
p 2 0 54 866 221 205
p 2 0 55 865 219 204
p 2 0 32 888 199 185
p 2 0 56 864 235 207
p 2 0 57 863 231 206
p 2 0 64 856 234 213
p 2 0 33 887 202 188
p 2 0 43 877 220 196
p 2 0 51 869 220 202
p 2 0 60 860 218 206
p 2 0 42 878 203 193
p 2 0 33 887 200 185
p 2 0 60 860 225 206
p 2 0 44 876 223 197
p 2 0 31 889 197 184
p 2 0 30 890 201 184
p 2 0 29 891 190 182
p 2 0 33 887 194 185
p 2 0 33 887 197 187
p 2 0 31 889 197 182
p 2 0 32 888 198 184
p 2 0 41 879 211 195
p 2 0 23 897 190 178
p 2 0 55 865 223 205
p 2 0 41 879 209 193
p 2 0 24 896 187 178
p 2 0 46 874 208 197
p 2 0 46 874 213 198
p 2 0 36 884 200 188
p 2 0 53 867 222 202
i 2 920 0 0 38323 3876
p 2 0 393 527 662 532
p 2 0 330 590 524 456
p 2 0 215 705 393 346
p 2 0 185 735 373 321
p 2 0 206 714 423 346
p 2 0 162 758 373 299
p 2 0 196 724 385 322
p 2 0 159 761 353 296
p 2 0 141 779 324 279
p 2 0 94 826 270 238
p 2 0 73 847 242 221
p 2 0 120 800 315 264
p 2 0 112 808 299 253
p 2 0 91 829 279 241
p 2 0 116 804 315 262
p 2 0 99 821 300 247
p 2 0 109 811 284 251
p 2 0 57 863 238 209
p 2 0 74 846 239 220
p 2 0 88 832 284 237
p 2 0 77 843 258 224
p 2 0 79 841 267 228
p 2 0 66 854 245 214
p 2 0 104 816 288 245
p 2 0 82 838 250 227
p 2 0 52 868 223 203
p 2 0 53 867 228 205
p 2 0 55 865 244 208
p 2 0 94 826 286 240
p 2 0 92 828 282 240
p 2 0 72 848 262 223
p 2 0 71 849 253 220
p 2 0 53 867 240 207
p 2 0 52 868 227 204
p 2 0 53 867 237 205
p 2 0 70 850 257 220
p 2 0 69 851 248 219
p 2 0 59 861 237 212
p 2 0 53 867 219 203
p 2 0 57 863 218 204
p 2 0 102 818 316 251
p 2 0 105 815 304 249
p 2 0 56 864 233 206
p 2 0 66 854 242 217
p 2 0 111 809 2670 287
p 2 0 107 813 336 247
p 2 0 105 815 275 243
p 2 0 109 811 2678 287
p 2 0 86 834 330 238
p 2 0 78 842 274 227
p 2 0 93 827 2534 269
p 2 0 87 833 349 239
p 2 0 77 843 260 227
p 2 0 126 794 2757 303
p 2 0 112 808 404 263
p 2 0 60 860 267 213
p 2 0 78 842 270 227
p 2 0 95 825 315 245
p 2 0 56 864 254 203
p 2 0 67 853 260 217
p 2 0 43 877 234 197
p 2 0 41 879 221 195
p 2 0 56 864 229 205
p 2 0 50 870 229 199
p 2 0 65 855 257 216
p 2 0 72 848 259 222
p 2 0 39 881 214 191
p 2 0 42 878 221 194
p 2 0 53 867 216 200
p 2 0 37 883 205 188
p 2 0 29 891 194 182
p 2 0 31 889 207 185
p 2 0 37 883 202 188
p 2 0 42 878 227 196
p 2 0 37 883 196 188
p 2 0 55 865 225 203
i 2 920 0 0 67677 4552
p 2 0 283 637 586 435
p 2 92 319 509 9125 1048
p 2 0 258 662 623 410
p 2 86 304 530 11773 1060
p 2 0 295 625 774 448
p 2 70 375 475 12000 1122
p 2 0 322 598 779 489
p 2 73 375 472 14496 1212
p 2 0 310 610 844 474
p 2 92 361 467 16949 1356
p 2 0 344 576 913 504
p 2 127 423 370 20221 1569
p 2 0 361 559 1017 524
p 2 123 394 403 21111 1503
p 2 0 420 500 1198 581
p 2 111 436 373 21072 1529
p 2 0 389 531 1099 547
p 2 82 367 471 21139 1357
p 2 0 348 572 1024 512
p 2 87 408 425 22406 1468
p 2 0 390 530 1095 546
p 2 73 361 486 20567 1343
p 2 0 366 554 1071 525
p 2 52 446 422 19627 1250
p 2 0 388 532 1160 547
p 2 44 351 525 16897 1028
p 2 0 327 593 978 485
p 2 18 406 496 14859 954
p 2 0 323 597 1005 487
p 2 11 346 563 13551 846
p 2 0 303 617 893 467
p 2 8 380 532 11242 788
p 2 0 319 601 948 476
p 2 7 311 602 9998 725
p 2 0 292 628 843 448
p 2 3 394 523 8835 754
p 2 0 344 576 987 496
p 2 1 274 645 8118 603
p 2 0 274 646 796 428
p 2 4 329 587 8416 676
p 2 0 312 608 954 472
p 2 1 268 651 7487 549
p 2 0 222 698 702 375
p 2 1 339 580 7296 634
p 2 0 254 666 780 407
p 2 0 246 674 6869 517
p 2 0 217 703 682 367
p 2 0 277 643 6198 541
p 2 0 230 690 759 380
